UserId,ProductId,ProductType,Rating,Timestamp,URL
A2A8EWHJLR09N5,B000052Z8B,Nail Polish,5,1389657600,https://www.amazon.in/JUICE-Glitter-Resistant-pigmented-Intense/dp/B0BW4CZX9B/ref=sxin_25_slsr_d_i_inslnabeauty_fa_5_B0BW4CZX9B?content-id=amzn1.sym.edeea8bf-86e7-473d-b5b2-4c4860afa68f%3Aamzn1.sym.edeea8bf-86e7-473d-b5b2-4c4860afa68f&crid=STMTCEXUXU5N&cv_ct_cx=nail+paint&keywords=nail+paint&pd_rd_i=B0BW4CZX9B&pd_rd_r=1db0c597-5a02-4f61-8e8f-4a551b8b03af&pd_rd_w=ILL1L&pd_rd_wg=5FvQk&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=edeea8bf-86e7-473d-b5b2-4c4860afa68f&pf_rd_r=NP5P8M01AR1Q2SYXJC4E&pf_rd_s=merchandised-search-11&qid=1680071873&s=beauty&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=nail+paint%2Cbeauty%2C200&sr=1-6-b915b076-9fb9-42da-a301-7447cf4d2271
A2QMAHNBCKBJLY,B00A1L2RWM,Cream & Moisturizer,3,1398729600,https://www.amazon.in/Minimalist-Hyaluronic-Intense-Hydration-Hydrating/dp/B08FB972DT/ref=sr_1_48?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=J3D55DSHBXE7WA6366Z9&pf_rd_s=merchandised-search-11&qid=1680067157&refinements=p_85%3A10440599031&rps=1&s=beauty&sr=1-48
A3C2ANS14M257U,B000OQ2DL4,Nail Polish,5,1402185600,https://www.amazon.in/JUICE-Quick-dry-Resistant-Periwinkle-Blue/dp/B0BPHGC7CR/ref=sr_1_45?crid=STMTCEXUXU5N&keywords=nail+paint&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_s=merchandised-search-11&qid=1680071522&s=beauty&sprefix=nail+paint%2Cbeauty%2C200&sr=1-45
A4OUDOI2J2G9G,B000XTAA08,Nail Polish,5,1260921600,https://www.amazon.in/Lakme-True-Wear-Color-Shade/dp/B00791EVO4/ref=sr_1_30?crid=STMTCEXUXU5N&keywords=nail+paint&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_s=merchandised-search-11&qid=1680071392&s=beauty&sprefix=nail+paint%2Cbeauty%2C200&sr=1-30
A3Q0AQYTZFY4ZZ,B001HTYJLO,Shower Gel,5,1360540800,https://www.amazon.in/Aveeno-Sensitive-Extract-Gently-Without/dp/B0B3FVL358/ref=sxin_25_slsr_d_i_inslnabeauty_fa_1_B0B3FVL358?content-id=amzn1.sym.edeea8bf-86e7-473d-b5b2-4c4860afa68f%3Aamzn1.sym.edeea8bf-86e7-473d-b5b2-4c4860afa68f&crid=3NKGP4OZB9248&cv_ct_cx=body+wash&keywords=body+wash&pd_rd_i=B0B3FVL358&pd_rd_r=8f35652e-45ad-4509-a8ec-21a364866bf0&pd_rd_w=zsQuk&pd_rd_wg=1WHOs&pf_rd_i=1374276031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=edeea8bf-86e7-473d-b5b2-4c4860afa68f&pf_rd_r=8NNQ9W9B43DBKQRNYW3S&pf_rd_s=merchandised-search-4&qid=1680068026&s=beauty&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=body+%2Cbeauty%2C193&sr=1-2-b915b076-9fb9-42da-a301-7447cf4d2271
A3G457SXNHTKDK,B00170E81O,Shower Gel,5,1399507200,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4NzgzMjY0NDYyMDE3NjYwOjE2ODAwNjgxNDA6c3BfYnRmOjIwMDc5MDgyMjA4OTk4OjowOjo&url=%2FLux-Revitalized-Lemongrass-Frangipani-revitalised%2Fdp%2FB0B42Z4GXL%2Fref%3Dsr_1_59_sspa%3Fcrid%3D3NKGP4OZB9248%26keywords%3Dbody%2Bwash%26pf_rd_i%3D1374276031%26pf_rd_m%3DA1VBAL9TL5WCBF%26pf_rd_p%3D218f8944-f0f6-41af-ad51-958d2a04fb2f%26pf_rd_r%3DQ92BV6MWDP2BAZXH1E9P%26pf_rd_s%3Dmerchandised-search-4%26qid%3D1680068140%26s%3Dbeauty%26sprefix%3Dbody%2B%252Cbeauty%252C193%26sr%3D1-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
A3PZBX6J58SCY8,B0001EKWPI,Nail Polish,5,1299196800,https://www.amazon.in/Juice-Polish-Kissed-Dusty-COMBO_27/dp/B07TY2KZKY/ref=sr_1_14?crid=STMTCEXUXU5N&keywords=nail+paint&pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=777489a8-ff36-4ced-b8a2-fe296c0f72d2&pf_rd_r=2FW5DJ3SEEMC9S9WS77E&pf_rd_s=merchandised-search-11&qid=1680071823&s=beauty&sprefix=nail+paint%2Cbeauty%2C200&sr=1-14
A1UQMY7GH7UTLQ,B002D48R3I,Face Wash & Cleansers,5,1348876800,https://www.amazon.in/Lotus-Herbals-Whiteglow-Cleansing-Whitening/dp/B00EU4YX82/ref=sr_1_18?pf_rd_i=1355016031&pf_rd_m=A1VBAL9TL5WCBF&pf_rd_p=1f9b873b-851b-4ef7-9137-1a1dc23c575a&pf_rd_r=76BM2ADV9TQD1B275FZF&pf_rd_s=merchandised-search-11&qid=1680068534&refinements=p_72%3A1318477031&s=beauty&sr=1-18
A3T5XS8SOEVF52,B000XEBDK4,Nail Polish,5,1374019200,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMjQwODIyNDAwNzEyOTU0OjE2ODAwNzEzOTI6c3BfYnRmOjIwMTAwNTIyODEyMDk4OjowOjo&url=%2FLoveChild-Masaba-Classics-Chaand-Enamel%2Fdp%2FB0BFR9BV8Q%2Fref%3Dsr_1_59_sspa%3Fcrid%3DSTMTCEXUXU5N%26keywords%3Dnail%2Bpaint%26pf_rd_i%3D1355016031%26pf_rd_m%3DA1VBAL9TL5WCBF%26pf_rd_p%3D777489a8-ff36-4ced-b8a2-fe296c0f72d2%26pf_rd_r%3D2FW5DJ3SEEMC9S9WS77E%26pf_rd_s%3Dmerchandised-search-11%26qid%3D1680071392%26s%3Dbeauty%26sprefix%3Dnail%2Bpaint%252Cbeauty%252C200%26sr%3D1-59-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
A2XCIFTWYTIWSA,B001A3ATP2,Shower Gel,4,1358553600,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo4MjcyNzI4OTQ3MDU1NjA5OjE2ODAwNjgxMTI6c3BfYnRmOjIwMTE2NDI4MTE0MTk4OjowOjo&url=%2FmCaffeine-Berries-Moisturized-Cleanser-Sulphate%2Fdp%2FB0BSNQJ88Y%2Fref%3Dsr_1_57_sspa%3Fcrid%3D3NKGP4OZB9248%26keywords%3Dbody%2Bwash%26pf_rd_i%3D1374276031%26pf_rd_m%3DA1VBAL9TL5WCBF%26pf_rd_p%3D218f8944-f0f6-41af-ad51-958d2a04fb2f%26pf_rd_r%3DQ92BV6MWDP2BAZXH1E9P%26pf_rd_s%3Dmerchandised-search-4%26qid%3D1680068112%26s%3Dbeauty%26sprefix%3Dbody%2B%252Cbeauty%252C193%26sr%3D1-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
